2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:52:00 for US500m, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:52:00 for JP225m, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:53:00 for EURUSDm, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:53:00 for GBPUSDm, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:53:00 for USDJPYm, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:53:00 for AUDUSDm, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:53:00 for USDCADm, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:53:00 for EURGBPm, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:53:00 for XAUUSDm, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:53:00 for XAGUSDm, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:53:00 for BTCUSDm, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:53:00 for ETHUSDm, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:53:00 for US30m, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:53:00 for US500m, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:53:00 for JP225m, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:53:00 for EURUSDm, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:53:00 for GBPUSDm, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:53:00 for USDJPYm, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:53:00 for AUDUSDm, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:53:00 for USDCADm, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:53:00 for EURGBPm, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:53:00 for XAUUSDm, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:53:00 for XAGUSDm, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:53:00 for BTCUSDm, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:53:00 for ETHUSDm, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:53:00 for US30m, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:53:00 for US500m, using first bar
2025-12-17 17:33:27 - backtest_market_data - WARNING - No bar found at or before 2025-10-31 07:53:00 for JP225m, using first bar
