2025-12-14 22:26:06 - backtest_runner - INFO - mode=BACKTEST | Setting up backtest environment...
2025-12-14 22:26:06 - backtest_runner - INFO - mode=BACKTEST | Data preflight validation complete: 14 valid symbols, 0 skipped
2025-12-14 22:26:15 - backtest_runner - INFO - Market data provider initialized with start time: 2025-10-27 08:21:00
2025-12-14 22:26:15 - backtest_runner - INFO - Backtest environment setup complete
2025-12-14 22:26:15 - backtest_runner - INFO - Initializing trading bot for backtest mode...
2025-12-14 22:26:16 - backtest_runner - INFO - Registered SL worker loop callback
2025-12-14 22:26:16 - backtest_runner - INFO - Registered run_cycle callback
2025-12-14 22:26:16 - backtest_runner - INFO - Trading bot initialized for backtest
2025-12-14 22:26:16 - backtest_runner - INFO - ================================================================================
2025-12-14 22:26:16 - backtest_runner - INFO - STARTING BACKTEST
2025-12-14 22:26:16 - backtest_runner - INFO - ================================================================================
2025-12-14 22:26:16 - backtest_runner - INFO - Symbols: ['EURUSDm', 'GBPUSDm', 'USDJPYm', 'AUDUSDm', 'USDCADm', 'EURGBPm', 'XAUUSDm', 'XAGUSDm', 'BTCUSDm', 'ETHUSDm', 'US30m', 'US500m', 'JP225m', 'AUS200m']
2025-12-14 22:26:16 - backtest_runner - INFO - Period: 2023-12-24 22:26:06.116482 to 2025-12-13 22:26:06.116482
2025-12-14 22:26:16 - backtest_runner - INFO - Timeframe: M1
2025-12-14 22:26:16 - backtest_runner - INFO - Speed: 100.0x
2025-12-14 22:26:16 - backtest_runner - INFO - Backtest progress: Step 1 | Time: 2025-10-27 08:22:00
2025-12-14 22:26:46 - backtest_runner - INFO - Backtest progress: Step 335 | Time: 2025-10-27 14:28:00 | Speed: 11.1 steps/sec
2025-12-14 22:27:16 - backtest_runner - INFO - Backtest progress: Step 530 | Time: 2025-10-27 17:57:00 | Speed: 6.5 steps/sec
2025-12-14 22:27:46 - backtest_runner - INFO - Backtest progress: Step 566 | Time: 2025-10-27 18:48:00 | Speed: 1.2 steps/sec
2025-12-14 22:28:16 - backtest_runner - INFO - Backtest progress: Step 609 | Time: 2025-10-27 19:37:00 | Speed: 1.4 steps/sec
2025-12-14 22:28:46 - backtest_runner - INFO - Backtest progress: Step 689 | Time: 2025-10-27 22:55:00 | Speed: 2.6 steps/sec
2025-12-14 22:29:16 - backtest_runner - INFO - Backtest progress: Step 809 | Time: 2025-10-28 00:55:00 | Speed: 4.0 steps/sec
2025-12-14 22:29:47 - backtest_runner - INFO - Backtest progress: Step 923 | Time: 2025-10-28 02:49:00 | Speed: 3.8 steps/sec
2025-12-14 22:30:42 - backtest_runner - INFO - Backtest progress: Step 1102 | Time: 2025-10-28 06:35:00 | Speed: 3.4 steps/sec
2025-12-14 22:31:13 - backtest_runner - INFO - Backtest progress: Step 1201 | Time: 2025-10-28 08:29:00 | Speed: 3.3 steps/sec
2025-12-14 22:31:43 - backtest_runner - INFO - Backtest progress: Step 1307 | Time: 2025-10-28 10:29:00 | Speed: 3.5 steps/sec
2025-12-14 22:32:13 - backtest_runner - INFO - Backtest progress: Step 1408 | Time: 2025-10-28 12:23:00 | Speed: 3.4 steps/sec
2025-12-14 22:32:43 - backtest_runner - INFO - Backtest progress: Step 1512 | Time: 2025-10-28 14:10:00 | Speed: 3.5 steps/sec
2025-12-14 22:33:13 - backtest_runner - INFO - Backtest progress: Step 1612 | Time: 2025-10-28 15:52:00 | Speed: 3.3 steps/sec
2025-12-14 22:33:43 - backtest_runner - INFO - Backtest progress: Step 1725 | Time: 2025-10-28 17:55:00 | Speed: 3.8 steps/sec
2025-12-14 22:34:13 - backtest_runner - INFO - Backtest progress: Step 1843 | Time: 2025-10-28 20:18:00 | Speed: 3.9 steps/sec
2025-12-14 22:34:43 - backtest_runner - INFO - Backtest progress: Step 1963 | Time: 2025-10-29 00:09:00 | Speed: 4.0 steps/sec
2025-12-14 22:35:23 - backtest_runner - INFO - Backtest progress: Step 2109 | Time: 2025-10-29 02:35:00 | Speed: 3.6 steps/sec
2025-12-14 22:35:53 - backtest_runner - INFO - Backtest progress: Step 2221 | Time: 2025-10-29 04:27:00 | Speed: 3.7 steps/sec
2025-12-14 22:36:23 - backtest_runner - INFO - Backtest progress: Step 2316 | Time: 2025-10-29 06:45:00 | Speed: 3.2 steps/sec
2025-12-14 22:36:53 - backtest_runner - INFO - Backtest progress: Step 2427 | Time: 2025-10-29 08:41:00 | Speed: 3.7 steps/sec
2025-12-14 22:37:23 - backtest_runner - INFO - Backtest progress: Step 2527 | Time: 2025-10-29 10:28:00 | Speed: 3.3 steps/sec
2025-12-14 22:37:54 - backtest_runner - INFO - Backtest progress: Step 2648 | Time: 2025-10-29 12:31:00 | Speed: 4.0 steps/sec
2025-12-14 22:38:24 - backtest_runner - INFO - Backtest progress: Step 2756 | Time: 2025-10-29 14:19:00 | Speed: 3.6 steps/sec
2025-12-14 22:38:54 - backtest_runner - INFO - Backtest progress: Step 2771 | Time: 2025-10-29 14:34:00 | Speed: 0.5 steps/sec
2025-12-14 22:39:25 - backtest_runner - INFO - Backtest progress: Step 2783 | Time: 2025-10-29 14:46:00 | Speed: 0.4 steps/sec
2025-12-14 22:39:56 - backtest_runner - INFO - Backtest progress: Step 2794 | Time: 2025-10-29 14:57:00 | Speed: 0.4 steps/sec
2025-12-14 22:40:28 - backtest_runner - INFO - Backtest progress: Step 2806 | Time: 2025-10-29 15:09:00 | Speed: 0.4 steps/sec
2025-12-14 22:40:58 - backtest_runner - INFO - Backtest progress: Step 2819 | Time: 2025-10-29 15:22:00 | Speed: 0.4 steps/sec
2025-12-14 22:41:30 - backtest_runner - INFO - Backtest progress: Step 2832 | Time: 2025-10-29 15:35:00 | Speed: 0.4 steps/sec
2025-12-14 22:42:03 - backtest_runner - INFO - Backtest progress: Step 2844 | Time: 2025-10-29 15:47:00 | Speed: 0.4 steps/sec
2025-12-14 22:42:34 - backtest_runner - INFO - Backtest progress: Step 2856 | Time: 2025-10-29 15:59:00 | Speed: 0.4 steps/sec
2025-12-14 22:43:07 - backtest_runner - INFO - Backtest progress: Step 2869 | Time: 2025-10-29 16:12:00 | Speed: 0.4 steps/sec
2025-12-14 22:43:39 - backtest_runner - INFO - Backtest progress: Step 2883 | Time: 2025-10-29 16:26:00 | Speed: 0.4 steps/sec
2025-12-14 22:44:10 - backtest_runner - INFO - Backtest progress: Step 2895 | Time: 2025-10-29 16:38:00 | Speed: 0.4 steps/sec
2025-12-14 22:44:41 - backtest_runner - INFO - Backtest progress: Step 2909 | Time: 2025-10-29 16:52:00 | Speed: 0.4 steps/sec
2025-12-14 22:45:12 - backtest_runner - INFO - Backtest progress: Step 2921 | Time: 2025-10-29 17:04:00 | Speed: 0.4 steps/sec
2025-12-14 22:45:43 - backtest_runner - INFO - Backtest progress: Step 2935 | Time: 2025-10-29 17:18:00 | Speed: 0.4 steps/sec
2025-12-14 22:46:15 - backtest_runner - INFO - Backtest progress: Step 2950 | Time: 2025-10-29 17:33:00 | Speed: 0.5 steps/sec
2025-12-14 22:46:46 - backtest_runner - INFO - Backtest progress: Step 2965 | Time: 2025-10-29 17:48:00 | Speed: 0.5 steps/sec
2025-12-14 22:47:16 - backtest_runner - INFO - Backtest progress: Step 2977 | Time: 2025-10-29 18:00:00 | Speed: 0.4 steps/sec
2025-12-14 22:47:48 - backtest_runner - INFO - Backtest progress: Step 2993 | Time: 2025-10-29 18:16:00 | Speed: 0.5 steps/sec
2025-12-14 22:48:39 - backtest_runner - INFO - Backtest progress: Step 3011 | Time: 2025-10-29 18:34:00 | Speed: 0.4 steps/sec
2025-12-14 22:49:10 - backtest_runner - INFO - Backtest progress: Step 3022 | Time: 2025-10-29 18:45:00 | Speed: 0.3 steps/sec
2025-12-14 22:49:43 - backtest_runner - INFO - Backtest progress: Step 3034 | Time: 2025-10-29 18:57:00 | Speed: 0.4 steps/sec
2025-12-14 22:50:14 - backtest_runner - INFO - Backtest progress: Step 3045 | Time: 2025-10-29 19:08:00 | Speed: 0.4 steps/sec
2025-12-14 22:50:46 - backtest_runner - INFO - Backtest progress: Step 3055 | Time: 2025-10-29 19:18:00 | Speed: 0.3 steps/sec
2025-12-14 22:51:18 - backtest_runner - INFO - Backtest progress: Step 3067 | Time: 2025-10-29 19:30:00 | Speed: 0.4 steps/sec
2025-12-14 22:51:50 - backtest_runner - INFO - Backtest progress: Step 3079 | Time: 2025-10-29 19:42:00 | Speed: 0.4 steps/sec
2025-12-14 22:52:21 - backtest_runner - INFO - Backtest progress: Step 3091 | Time: 2025-10-29 19:54:00 | Speed: 0.4 steps/sec
2025-12-14 22:52:52 - backtest_runner - INFO - Backtest progress: Step 3101 | Time: 2025-10-29 20:04:00 | Speed: 0.3 steps/sec
2025-12-14 22:53:24 - backtest_runner - INFO - Backtest progress: Step 3111 | Time: 2025-10-29 20:14:00 | Speed: 0.3 steps/sec
