2026-01-05 21:37:53 - sl_safety_guard - INFO - [SL_SAFETY_GUARD_INIT] Global SL Safety Guard initialized
2026-01-05 21:37:53 - sl_safety_guard - INFO - [SL_SAFETY_GUARD_LOOP] Monitoring loop started
2026-01-05 21:37:53 - sl_safety_guard - INFO - [SL_SAFETY_GUARD_STARTED] Monitoring thread started
2026-01-05 21:57:26 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 75.1ms (target: <50ms)
2026-01-05 21:57:33 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 66.6ms (target: <50ms)
2026-01-05 21:57:34 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 76.6ms (target: <50ms)
2026-01-05 21:57:36 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 78.5ms (target: <50ms)
2026-01-05 21:57:36 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 80.1ms (target: <50ms)
2026-01-05 21:57:47 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 80.0ms (target: <50ms)
2026-01-05 21:57:53 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 72.3ms (target: <50ms)
2026-01-05 21:57:55 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 81.8ms (target: <50ms)
2026-01-05 21:58:02 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 315.8ms (target: <50ms)
2026-01-05 21:58:04 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 68.8ms (target: <50ms)
2026-01-05 21:58:13 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 81.6ms (target: <50ms)
2026-01-05 21:58:24 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 58.4ms (target: <50ms)
2026-01-05 21:58:28 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 147.4ms (target: <50ms)
2026-01-05 21:58:32 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 86.3ms (target: <50ms)
2026-01-05 21:58:36 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 88.6ms (target: <50ms)
2026-01-05 21:58:38 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 149.5ms (target: <50ms)
2026-01-05 21:58:42 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 76.7ms (target: <50ms)
2026-01-05 21:58:46 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 69.5ms (target: <50ms)
2026-01-05 21:58:49 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 70.7ms (target: <50ms)
2026-01-05 21:58:53 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 68.4ms (target: <50ms)
2026-01-05 21:58:59 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 73.3ms (target: <50ms)
2026-01-05 21:59:05 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 72.3ms (target: <50ms)
2026-01-05 21:59:16 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 82.6ms (target: <50ms)
2026-01-05 21:59:34 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 87.3ms (target: <50ms)
2026-01-05 21:59:44 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 68.9ms (target: <50ms)
2026-01-05 21:59:48 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 162.7ms (target: <50ms)
2026-01-05 21:59:48 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 71.7ms (target: <50ms)
2026-01-05 21:59:49 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 69.9ms (target: <50ms)
2026-01-05 21:59:57 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 67.6ms (target: <50ms)
2026-01-05 22:00:04 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 80.0ms (target: <50ms)
2026-01-05 22:00:12 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 79.6ms (target: <50ms)
2026-01-05 22:00:15 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 80.1ms (target: <50ms)
2026-01-05 22:00:20 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 80.2ms (target: <50ms)
2026-01-05 22:00:26 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 72.6ms (target: <50ms)
2026-01-05 22:00:29 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 80.0ms (target: <50ms)
2026-01-05 22:00:35 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 75.7ms (target: <50ms)
2026-01-05 22:00:39 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 160.0ms (target: <50ms)
2026-01-05 22:01:00 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 76.7ms (target: <50ms)
2026-01-05 22:01:05 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 148.6ms (target: <50ms)
2026-01-05 22:01:08 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 70.6ms (target: <50ms)
2026-01-05 22:01:08 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 75.0ms (target: <50ms)
2026-01-05 22:01:15 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 148.8ms (target: <50ms)
2026-01-05 22:01:17 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 79.9ms (target: <50ms)
2026-01-05 22:01:25 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 68.6ms (target: <50ms)
2026-01-05 22:01:26 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 70.0ms (target: <50ms)
2026-01-05 22:01:31 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 70.8ms (target: <50ms)
2026-01-05 22:01:43 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 69.1ms (target: <50ms)
2026-01-05 22:01:46 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 83.6ms (target: <50ms)
2026-01-05 22:01:50 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 74.3ms (target: <50ms)
2026-01-05 22:01:51 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 67.7ms (target: <50ms)
2026-01-05 22:01:53 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 85.5ms (target: <50ms)
2026-01-05 22:01:56 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 54.7ms (target: <50ms)
2026-01-05 22:02:12 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 477.1ms (target: <50ms)
2026-01-05 22:02:31 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 80.0ms (target: <50ms)
2026-01-05 22:02:45 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 71.5ms (target: <50ms)
2026-01-05 22:02:46 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 230.4ms (target: <50ms)
2026-01-05 22:02:49 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 72.5ms (target: <50ms)
2026-01-05 22:02:52 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 80.4ms (target: <50ms)
2026-01-05 22:02:54 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 97.9ms (target: <50ms)
2026-01-05 22:02:54 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 68.9ms (target: <50ms)
2026-01-05 22:02:59 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 82.2ms (target: <50ms)
2026-01-05 22:03:00 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 71.5ms (target: <50ms)
2026-01-05 22:03:02 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 82.7ms (target: <50ms)
2026-01-05 22:03:07 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 153.9ms (target: <50ms)
2026-01-05 22:03:16 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 69.4ms (target: <50ms)
2026-01-05 22:03:18 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 154.3ms (target: <50ms)
2026-01-05 22:03:18 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 69.3ms (target: <50ms)
2026-01-05 22:03:35 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 69.0ms (target: <50ms)
2026-01-05 22:03:36 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 70.1ms (target: <50ms)
2026-01-05 22:03:51 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 79.9ms (target: <50ms)
2026-01-05 22:04:09 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 68.5ms (target: <50ms)
2026-01-05 22:04:20 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 72.8ms (target: <50ms)
2026-01-05 22:04:24 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 58.8ms (target: <50ms)
2026-01-05 22:04:24 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 59.5ms (target: <50ms)
2026-01-05 22:04:41 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 94.8ms (target: <50ms)
2026-01-05 22:04:52 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 57.5ms (target: <50ms)
2026-01-05 22:04:54 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 76.7ms (target: <50ms)
2026-01-05 22:05:06 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 80.0ms (target: <50ms)
2026-01-05 22:05:14 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 134.9ms (target: <50ms)
2026-01-05 22:05:24 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 152.2ms (target: <50ms)
2026-01-05 22:05:26 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 81.7ms (target: <50ms)
2026-01-05 22:05:27 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 86.4ms (target: <50ms)
2026-01-05 22:05:30 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 72.6ms (target: <50ms)
2026-01-05 22:05:32 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 109.5ms (target: <50ms)
2026-01-05 22:05:36 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 77.8ms (target: <50ms)
2026-01-05 22:05:37 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 84.5ms (target: <50ms)
2026-01-05 22:05:42 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 51.3ms (target: <50ms)
2026-01-05 22:05:53 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 80.0ms (target: <50ms)
2026-01-05 22:05:55 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 69.0ms (target: <50ms)
2026-01-05 22:06:04 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 80.0ms (target: <50ms)
2026-01-05 22:06:06 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 71.4ms (target: <50ms)
2026-01-05 22:06:12 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 72.5ms (target: <50ms)
2026-01-05 22:06:13 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 75.4ms (target: <50ms)
2026-01-05 22:06:14 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 66.2ms (target: <50ms)
2026-01-05 22:06:38 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 229.7ms (target: <50ms)
2026-01-05 22:06:40 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 71.0ms (target: <50ms)
2026-01-05 22:06:46 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 151.2ms (target: <50ms)
2026-01-05 22:06:46 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 69.2ms (target: <50ms)
2026-01-05 22:06:49 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 71.7ms (target: <50ms)
2026-01-05 22:06:53 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 80.1ms (target: <50ms)
2026-01-05 22:07:17 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 70.4ms (target: <50ms)
2026-01-05 22:07:29 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 72.0ms (target: <50ms)
2026-01-05 22:07:31 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 72.7ms (target: <50ms)
2026-01-05 22:07:36 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 71.4ms (target: <50ms)
2026-01-05 22:07:38 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 89.6ms (target: <50ms)
2026-01-05 22:07:45 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 68.4ms (target: <50ms)
2026-01-05 22:07:50 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 56.3ms (target: <50ms)
2026-01-05 22:08:05 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 51.2ms (target: <50ms)
2026-01-05 22:08:11 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 65.4ms (target: <50ms)
2026-01-05 22:08:14 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 74.8ms (target: <50ms)
2026-01-05 22:08:14 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 77.5ms (target: <50ms)
2026-01-05 22:08:26 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 73.6ms (target: <50ms)
2026-01-05 22:08:43 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 59.0ms (target: <50ms)
2026-01-05 22:08:48 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 69.4ms (target: <50ms)
2026-01-05 22:09:01 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 80.1ms (target: <50ms)
2026-01-05 22:09:10 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 69.7ms (target: <50ms)
2026-01-05 22:09:11 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 69.4ms (target: <50ms)
2026-01-05 22:09:35 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 76.4ms (target: <50ms)
2026-01-05 22:09:46 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 67.8ms (target: <50ms)
2026-01-05 22:09:52 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 79.3ms (target: <50ms)
2026-01-05 22:09:57 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 62.4ms (target: <50ms)
2026-01-05 22:09:58 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 71.1ms (target: <50ms)
2026-01-05 22:10:02 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 87.8ms (target: <50ms)
2026-01-05 22:10:03 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 64.5ms (target: <50ms)
2026-01-05 22:10:12 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 81.4ms (target: <50ms)
2026-01-05 22:10:13 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 67.0ms (target: <50ms)
2026-01-05 22:10:15 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 71.7ms (target: <50ms)
2026-01-05 22:10:35 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 485.0ms (target: <50ms)
2026-01-05 22:11:08 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 80.0ms (target: <50ms)
2026-01-05 22:11:22 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 70.1ms (target: <50ms)
2026-01-05 22:11:25 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 75.0ms (target: <50ms)
2026-01-05 22:11:36 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 71.7ms (target: <50ms)
2026-01-05 22:11:42 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 69.6ms (target: <50ms)
2026-01-05 22:11:45 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 161.1ms (target: <50ms)
2026-01-05 22:12:04 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 73.4ms (target: <50ms)
2026-01-05 22:12:05 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 71.4ms (target: <50ms)
2026-01-05 22:12:14 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 73.5ms (target: <50ms)
2026-01-05 22:12:27 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 69.9ms (target: <50ms)
2026-01-05 22:12:28 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 67.4ms (target: <50ms)
2026-01-05 22:12:28 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 67.5ms (target: <50ms)
2026-01-05 22:12:32 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 70.8ms (target: <50ms)
2026-01-05 22:12:56 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 71.0ms (target: <50ms)
2026-01-05 22:13:12 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 83.1ms (target: <50ms)
2026-01-05 22:13:14 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 80.1ms (target: <50ms)
2026-01-05 22:13:35 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 71.0ms (target: <50ms)
2026-01-05 22:13:42 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 84.0ms (target: <50ms)
2026-01-05 22:13:47 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 71.7ms (target: <50ms)
2026-01-05 22:13:52 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 82.5ms (target: <50ms)
2026-01-05 22:13:52 - sl_safety_guard - WARNING - [SL_SAFETY_GUARD_SLOW] Check took 83.1ms (target: <50ms)
