2025-12-12 21:30:20 - discrepancies - WARNING - Order 499990913 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-12 21:30:20 - discrepancies - WARNING - Order 499990787 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-12 21:30:20 - discrepancies - WARNING - Order 494364420 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-12 21:30:20 - discrepancies - WARNING - Order 495796036 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-12 21:30:20 - discrepancies - WARNING - Order 491673414 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-12 21:30:20 - discrepancies - WARNING - Order 500000325 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-12 21:30:20 - discrepancies - WARNING - Order 499990600 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-12 21:30:20 - discrepancies - WARNING - Order 495795658 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-12 21:30:20 - discrepancies - WARNING - Order 500000270 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-12 21:30:20 - discrepancies - WARNING - Order 499990866 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-12 21:30:20 - discrepancies - WARNING - Order 494366614 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-12 21:30:20 - discrepancies - WARNING - Order 499990809 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-12 21:30:20 - discrepancies - WARNING - Order 500000226 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-12 21:30:20 - discrepancies - WARNING - Order 500000292 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-12 21:30:20 - discrepancies - WARNING - Order 499999913 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-12 21:30:20 - discrepancies - WARNING - Order 500000255 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-12 21:31:20 - discrepancies - WARNING - Order 499990913 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-12 21:31:20 - discrepancies - WARNING - Order 499990787 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-12 21:31:20 - discrepancies - WARNING - Order 494364420 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-12 21:31:20 - discrepancies - WARNING - Order 495796036 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-12 21:31:20 - discrepancies - WARNING - Order 491673414 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-12 21:31:20 - discrepancies - WARNING - Order 500000325 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
