2025-12-21 23:23:48 - monitoring - INFO - Near $0.10 multiple: Ticket 545887599 (US30_x10m) at $0.28, next multiple: $0.30
2025-12-21 23:26:49 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $0.45, next multiple: $0.50
2025-12-21 23:26:59 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $0.45, next multiple: $0.50
2025-12-21 23:27:11 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $0.46, next multiple: $0.50
2025-12-21 23:27:42 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $0.68, next multiple: $0.70
2025-12-21 23:27:53 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $0.69, next multiple: $0.70
2025-12-21 23:28:04 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $0.68, next multiple: $0.70
2025-12-21 23:28:26 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $0.70, next multiple: $0.70
2025-12-21 23:28:36 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $0.68, next multiple: $0.70
2025-12-21 23:28:58 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $1.09, next multiple: $1.10
2025-12-21 23:29:47 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $1.40, next multiple: $1.40
2025-12-21 23:30:10 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $1.39, next multiple: $1.40
2025-12-21 23:30:22 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $1.78, next multiple: $1.80
2025-12-21 23:30:32 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $2.17, next multiple: $2.20
2025-12-21 23:30:48 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $1.76, next multiple: $1.80
2025-12-21 23:30:58 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $1.56, next multiple: $1.60
2025-12-21 23:31:44 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $1.69, next multiple: $1.70
2025-12-21 23:32:18 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $1.56, next multiple: $1.60
2025-12-21 23:32:55 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $1.86, next multiple: $1.90
2025-12-21 23:33:06 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $2.19, next multiple: $2.20
2025-12-21 23:33:33 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $1.90, next multiple: $1.90
2025-12-21 23:33:44 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $1.98, next multiple: $2.00
2025-12-21 23:34:09 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $2.09, next multiple: $2.10
2025-12-21 23:35:31 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $1.57, next multiple: $1.60
2025-12-21 23:35:41 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $1.69, next multiple: $1.70
2025-12-21 23:35:53 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $1.57, next multiple: $1.60
2025-12-21 23:36:15 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $1.36, next multiple: $1.40
2025-12-21 23:36:58 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $1.19, next multiple: $1.20
2025-12-21 23:37:24 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $1.40, next multiple: $1.40
2025-12-21 23:37:35 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $1.49, next multiple: $1.50
2025-12-21 23:37:46 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $1.38, next multiple: $1.40
2025-12-21 23:38:01 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $1.37, next multiple: $1.40
2025-12-21 23:39:06 - monitoring - INFO - Near $0.10 multiple: Ticket 545886582 (BTCUSDm) at $0.96, next multiple: $1.00
