2026-01-02 20:36:08 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Volatility floor: avg range 0.37 pips < min 0.40 pips
2026-01-02 20:38:26 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 680.9% of avg range > max 50.0%
2026-01-02 20:40:31 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 719.1% of avg range > max 50.0%
2026-01-02 20:42:34 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 703.3% of avg range > max 50.0%
2026-01-02 20:44:56 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 735.6% of avg range > max 50.0%
2026-01-05 12:06:12 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 932.0% of avg range > max 50.0%
2026-01-05 12:07:59 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 738.5% of avg range > max 50.0%
2026-01-05 12:13:21 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 601.9% of avg range > max 50.0%
2026-01-05 12:15:08 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 513.4% of avg range > max 50.0%
2026-01-05 12:49:00 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 270.4% of avg range > max 50.0%
2026-01-05 13:03:16 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 204.3% of avg range > max 50.0%
2026-01-05 13:08:38 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 208.0% of avg range > max 50.0%
2026-01-05 13:17:41 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 261.6% of avg range > max 50.0%
2026-01-05 13:41:26 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 635.8% of avg range > max 50.0%
2026-01-05 14:10:23 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 403.4% of avg range > max 50.0%
2026-01-05 14:20:33 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 392.6% of avg range > max 50.0%
2026-01-05 14:25:39 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 436.4% of avg range > max 50.0%
2026-01-05 15:33:26 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 94.6% of avg range > max 50.0%
2026-01-05 15:38:30 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 100.7% of avg range > max 50.0%
2026-01-05 15:43:50 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 102.9% of avg range > max 50.0%
2026-01-05 15:49:10 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 104.9% of avg range > max 50.0%
2026-01-05 15:54:40 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 115.7% of avg range > max 50.0%
2026-01-05 16:15:19 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 115.2% of avg range > max 50.0%
2026-01-05 16:20:28 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 112.9% of avg range > max 50.0%
2026-01-05 16:25:42 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 115.7% of avg range > max 50.0%
2026-01-05 16:36:28 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 134.0% of avg range > max 50.0%
2026-01-05 16:41:36 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 137.9% of avg range > max 50.0%
2026-01-05 16:46:58 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 142.1% of avg range > max 50.0%
2026-01-05 16:52:16 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 152.2% of avg range > max 50.0%
2026-01-05 16:57:51 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 151.4% of avg range > max 50.0%
2026-01-05 17:03:08 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 160.0% of avg range > max 50.0%
2026-01-05 17:08:11 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 166.7% of avg range > max 50.0%
2026-01-05 17:13:16 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 157.3% of avg range > max 50.0%
2026-01-05 17:23:12 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 178.3% of avg range > max 50.0%
