2026-01-02 20:35:51 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Volatility floor: avg range 0.17 pips < min 0.40 pips
2026-01-05 12:06:11 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 1000.0% of avg range > max 50.0%
2026-01-05 12:11:33 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 780.0% of avg range > max 50.0%
2026-01-05 12:13:20 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 878.8% of avg range > max 50.0%
2026-01-05 13:31:46 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 1207.5% of avg range > max 50.0%
2026-01-05 13:36:35 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 1207.5% of avg range > max 50.0%
2026-01-05 14:30:54 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 1481.9% of avg range > max 50.0%
2026-01-05 14:39:15 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 629.7% of avg range > max 50.0%
2026-01-05 14:43:52 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 155.8% of avg range > max 50.0%
2026-01-05 15:22:32 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 105.7% of avg range > max 50.0%
2026-01-05 15:27:51 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 109.5% of avg range > max 50.0%
2026-01-05 15:33:16 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 124.4% of avg range > max 50.0%
2026-01-05 15:38:20 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 125.7% of avg range > max 50.0%
2026-01-05 15:43:40 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 117.0% of avg range > max 50.0%
2026-01-05 15:54:26 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 152.8% of avg range > max 50.0%
2026-01-05 15:59:43 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Session guard: last 1 minutes of hour blocked
2026-01-05 16:05:01 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 152.7% of avg range > max 50.0%
2026-01-05 16:20:18 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 153.8% of avg range > max 50.0%
2026-01-05 16:36:14 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 181.8% of avg range > max 50.0%
2026-01-05 16:41:26 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 161.3% of avg range > max 50.0%
2026-01-05 16:46:39 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 168.1% of avg range > max 50.0%
2026-01-05 16:52:03 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 192.3% of avg range > max 50.0%
2026-01-05 16:57:31 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 196.1% of avg range > max 50.0%
2026-01-05 17:02:49 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 183.5% of avg range > max 50.0%
2026-01-05 17:07:48 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 183.5% of avg range > max 50.0%
2026-01-05 17:13:04 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 178.6% of avg range > max 50.0%
2026-01-05 17:17:44 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 196.1% of avg range > max 50.0%
2026-01-05 17:22:48 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 217.4% of avg range > max 50.0%
2026-01-05 17:28:06 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 208.3% of avg range > max 50.0%
2026-01-05 17:33:09 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 204.1% of avg range > max 50.0%
2026-01-05 17:38:25 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 198.0% of avg range > max 50.0%
2026-01-05 18:12:51 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 212.8% of avg range > max 50.0%
2026-01-05 18:17:50 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 215.1% of avg range > max 50.0%
2026-01-05 18:27:39 - trades.FTNTm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 206.2% of avg range > max 50.0%
