2026-01-02 20:36:12 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Volatility floor: avg range 0.35 pips < min 0.40 pips
2026-01-02 20:40:34 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 604.7% of avg range > max 50.0%
2026-01-02 20:42:39 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 505.8% of avg range > max 50.0%
2026-01-05 12:09:48 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 1909.4% of avg range > max 50.0%
2026-01-05 12:15:10 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 2000.0% of avg range > max 50.0%
2026-01-05 12:18:44 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 1860.2% of avg range > max 50.0%
2026-01-05 13:13:33 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 2813.0% of avg range > max 50.0%
2026-01-05 13:18:10 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 2072.3% of avg range > max 50.0%
2026-01-05 13:22:44 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 1820.9% of avg range > max 50.0%
2026-01-05 14:05:53 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 2216.7% of avg range > max 50.0%
2026-01-05 14:44:56 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 248.0% of avg range > max 50.0%
2026-01-05 14:50:45 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 270.2% of avg range > max 50.0%
2026-01-05 15:01:53 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 440.4% of avg range > max 50.0%
2026-01-05 15:07:38 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 414.8% of avg range > max 50.0%
2026-01-05 15:13:16 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 342.5% of avg range > max 50.0%
2026-01-05 15:18:52 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 342.3% of avg range > max 50.0%
2026-01-05 15:40:03 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 392.1% of avg range > max 50.0%
2026-01-05 15:50:39 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 527.3% of avg range > max 50.0%
2026-01-05 15:56:06 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 522.9% of avg range > max 50.0%
2026-01-05 16:43:05 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 479.3% of avg range > max 50.0%
2026-01-05 16:53:56 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 507.4% of avg range > max 50.0%
2026-01-05 16:59:17 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Session guard: last 1 minutes of hour blocked
2026-01-05 17:04:30 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 794.3% of avg range > max 50.0%
2026-01-05 17:19:23 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 450.3% of avg range > max 50.0%
2026-01-05 17:24:22 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 324.7% of avg range > max 50.0%
2026-01-05 17:29:44 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 336.4% of avg range > max 50.0%
2026-01-05 17:34:46 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 344.8% of avg range > max 50.0%
2026-01-05 17:53:42 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 674.3% of avg range > max 50.0%
2026-01-05 17:59:31 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Session guard: last 1 minutes of hour blocked
2026-01-05 18:04:27 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 1416.7% of avg range > max 50.0%
2026-01-05 18:09:23 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 1486.7% of avg range > max 50.0%
2026-01-05 18:14:26 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 1473.7% of avg range > max 50.0%
2026-01-05 18:19:26 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 1238.8% of avg range > max 50.0%
2026-01-05 18:24:22 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 1066.7% of avg range > max 50.0%
2026-01-05 18:29:04 - trades.FUTUm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 1006.5% of avg range > max 50.0%
