2026-01-02 20:35:53 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Volatility floor: avg range 0.33 pips < min 0.40 pips
2026-01-02 20:38:16 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 200.0% of avg range > max 50.0%
2026-01-02 20:40:23 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 202.0% of avg range > max 50.0%
2026-01-02 20:42:21 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 208.3% of avg range > max 50.0%
2026-01-02 20:44:46 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 222.2% of avg range > max 50.0%
2026-01-05 15:00:12 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Session guard: first 1 minutes of hour blocked
2026-01-05 15:05:53 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 71.1% of avg range > max 50.0%
2026-01-05 15:11:20 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 77.2% of avg range > max 50.0%
2026-01-05 15:17:16 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 77.8% of avg range > max 50.0%
2026-01-05 15:22:34 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 80.7% of avg range > max 50.0%
2026-01-05 15:27:56 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 83.9% of avg range > max 50.0%
2026-01-05 15:38:24 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 87.5% of avg range > max 50.0%
2026-01-05 15:43:44 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 86.1% of avg range > max 50.0%
2026-01-05 15:54:30 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 100.4% of avg range > max 50.0%
2026-01-05 16:05:13 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 105.3% of avg range > max 50.0%
2026-01-05 16:15:12 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 113.5% of avg range > max 50.0%
2026-01-05 16:20:25 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 108.1% of avg range > max 50.0%
2026-01-05 16:25:43 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 110.2% of avg range > max 50.0%
2026-01-05 16:31:01 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 97.2% of avg range > max 50.0%
2026-01-05 16:36:20 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 110.6% of avg range > max 50.0%
2026-01-05 16:41:30 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 137.9% of avg range > max 50.0%
2026-01-05 16:46:59 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 163.7% of avg range > max 50.0%
2026-01-05 16:52:10 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 152.9% of avg range > max 50.0%
2026-01-05 16:57:44 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 160.5% of avg range > max 50.0%
2026-01-05 17:02:58 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 143.7% of avg range > max 50.0%
2026-01-05 17:08:01 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 144.6% of avg range > max 50.0%
2026-01-05 17:13:09 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 141.2% of avg range > max 50.0%
2026-01-05 17:17:59 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 133.3% of avg range > max 50.0%
2026-01-05 17:22:59 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 132.5% of avg range > max 50.0%
2026-01-05 17:28:20 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 146.3% of avg range > max 50.0%
2026-01-05 17:33:21 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 150.9% of avg range > max 50.0%
2026-01-05 17:51:36 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 136.4% of avg range > max 50.0%
2026-01-05 17:57:57 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 139.2% of avg range > max 50.0%
2026-01-05 18:02:57 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 188.0% of avg range > max 50.0%
2026-01-05 18:13:03 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 220.0% of avg range > max 50.0%
2026-01-05 18:17:57 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 191.3% of avg range > max 50.0%
2026-01-05 18:23:00 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 184.9% of avg range > max 50.0%
2026-01-05 18:27:47 - trades.MRKm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 170.2% of avg range > max 50.0%
