2025-12-22 19:30:59 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 8792.6% of avg range > max 30.0%
2025-12-22 19:50:40 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 7715.8% of avg range > max 30.0%
2025-12-22 19:55:31 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 8099.4% of avg range > max 30.0%
2025-12-22 20:00:21 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Entry filter: Session guard: first 1 minutes of hour blocked
2025-12-22 21:09:18 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1704s)
2025-12-22 21:12:34 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1508s)
2025-12-22 21:15:29 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1334s)
2025-12-22 21:18:14 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1168s)
2025-12-22 21:20:58 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1004s)
2025-12-22 21:23:41 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 841s)
2025-12-22 22:58:27 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 688s)
2025-12-22 23:01:42 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 493s)
2025-12-22 23:04:51 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 303s)
2025-12-22 23:07:57 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 118s)
2025-12-22 23:10:59 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1740s)
2025-12-22 23:14:15 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1544s)
2025-12-22 23:17:26 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1353s)
2025-12-22 23:30:09 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 589s)
2025-12-22 23:33:07 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 411s)
2025-12-22 23:42:12 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1727s)
2025-12-22 23:45:13 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1546s)
2025-12-22 23:48:22 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1357s)
2025-12-22 23:51:29 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1170s)
2025-12-22 23:54:25 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 994s)
2025-12-22 23:57:18 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 822s)
2025-12-23 00:00:16 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 643s)
2025-12-23 00:03:17 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 462s)
2025-12-23 00:06:24 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 275s)
2025-12-23 00:09:30 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 89s)
2025-12-23 00:12:41 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1715s)
2025-12-23 00:15:53 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1524s)
2025-12-23 00:18:58 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1338s)
2025-12-23 00:22:10 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1147s)
2025-12-23 00:46:23 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1541s)
2025-12-23 00:49:21 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1364s)
2025-12-23 00:52:56 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1149s)
2025-12-23 00:56:12 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 953s)
2025-12-23 00:59:41 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 744s)
2025-12-23 01:03:18 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 527s)
2025-12-23 01:06:52 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 313s)
2025-12-23 01:10:33 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 92s)
2025-12-23 01:15:02 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1653s)
2025-12-23 01:18:55 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1420s)
2025-12-23 01:26:07 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 989s)
2025-12-23 01:29:16 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 800s)
2025-12-23 02:02:42 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 610s)
2025-12-23 02:06:15 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 396s)
2025-12-23 02:09:37 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 195s)
2025-12-23 02:12:50 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 2s)
2025-12-23 02:16:00 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1616s)
2025-12-23 02:19:05 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1430s)
2025-12-23 02:22:13 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1242s)
2025-12-23 02:40:48 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 128s)
2025-12-23 02:44:06 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1731s)
2025-12-23 02:47:21 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1536s)
2025-12-23 02:50:41 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1336s)
2025-12-23 02:54:02 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1135s)
2025-12-23 02:57:18 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 938s)
2025-12-23 03:00:50 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 726s)
2025-12-23 03:04:15 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 522s)
2025-12-23 03:07:27 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 330s)
2025-12-23 03:10:44 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 133s)
2025-12-23 03:13:56 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1745s)
2025-12-23 03:17:19 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1542s)
2025-12-23 03:20:34 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1347s)
2025-12-23 03:23:44 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1157s)
2025-12-23 03:27:07 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 954s)
2025-12-23 03:30:17 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 763s)
2025-12-23 03:33:28 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 573s)
2025-12-23 03:36:41 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 379s)
2025-12-23 03:39:52 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 189s)
2025-12-23 03:43:01 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 4706.6% of avg range > max 30.0%
2025-12-23 04:21:26 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1330s)
2025-12-23 04:24:22 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1154s)
2025-12-23 04:27:29 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 967s)
2025-12-23 04:30:34 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 782s)
2025-12-23 04:33:44 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 593s)
2025-12-23 04:36:52 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 404s)
2025-12-23 04:39:59 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 217s)
2025-12-23 04:43:01 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 36s)
2025-12-23 05:10:41 - trades.NZDZARm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 258s)
