2026-01-02 20:35:53 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Volatility floor: avg range 0.38 pips < min 0.40 pips
2026-01-02 20:38:15 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 194.2% of avg range > max 50.0%
2026-01-02 20:40:23 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 198.0% of avg range > max 50.0%
2026-01-02 20:42:21 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 194.2% of avg range > max 50.0%
2026-01-05 15:00:10 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Session guard: first 1 minutes of hour blocked
2026-01-05 15:05:43 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 79.3% of avg range > max 50.0%
2026-01-05 15:11:19 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 83.1% of avg range > max 50.0%
2026-01-05 15:17:06 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 79.3% of avg range > max 50.0%
2026-01-05 15:22:34 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 87.0% of avg range > max 50.0%
2026-01-05 15:27:49 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 86.6% of avg range > max 50.0%
2026-01-05 15:33:25 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 84.3% of avg range > max 50.0%
2026-01-05 15:38:27 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 86.1% of avg range > max 50.0%
2026-01-05 15:43:45 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 80.8% of avg range > max 50.0%
2026-01-05 15:49:07 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 103.4% of avg range > max 50.0%
2026-01-05 15:59:46 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Session guard: last 1 minutes of hour blocked
2026-01-05 16:05:14 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 123.7% of avg range > max 50.0%
2026-01-05 16:15:13 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 117.6% of avg range > max 50.0%
2026-01-05 16:20:23 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 120.0% of avg range > max 50.0%
2026-01-05 16:25:36 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 123.7% of avg range > max 50.0%
2026-01-05 16:30:53 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 129.4% of avg range > max 50.0%
2026-01-05 16:36:17 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 139.2% of avg range > max 50.0%
2026-01-05 16:41:26 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 170.2% of avg range > max 50.0%
2026-01-05 16:46:52 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 179.1% of avg range > max 50.0%
2026-01-05 16:52:07 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 162.2% of avg range > max 50.0%
2026-01-05 17:03:00 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 177.8% of avg range > max 50.0%
2026-01-05 17:08:03 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 177.8% of avg range > max 50.0%
2026-01-05 17:13:11 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 176.9% of avg range > max 50.0%
2026-01-05 17:18:04 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 158.9% of avg range > max 50.0%
2026-01-05 17:33:24 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 179.1% of avg range > max 50.0%
2026-01-05 17:38:41 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 156.9% of avg range > max 50.0%
2026-01-05 17:44:54 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 149.1% of avg range > max 50.0%
2026-01-05 17:51:30 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 163.0% of avg range > max 50.0%
2026-01-05 17:57:57 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 178.9% of avg range > max 50.0%
2026-01-05 18:02:59 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 222.2% of avg range > max 50.0%
2026-01-05 18:07:51 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 247.2% of avg range > max 50.0%
2026-01-05 18:13:03 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 258.8% of avg range > max 50.0%
2026-01-05 18:17:55 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 255.8% of avg range > max 50.0%
2026-01-05 18:22:59 - trades.PGm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 231.6% of avg range > max 50.0%
