2025-12-22 19:45:54 - trades.PLNJPYm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 12296.1% of avg range > max 30.0%
2025-12-22 19:50:35 - trades.PLNJPYm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 13677.0% of avg range > max 30.0%
2025-12-22 19:55:26 - trades.PLNJPYm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 13173.7% of avg range > max 30.0%
2025-12-22 20:00:15 - trades.PLNJPYm - DEBUG - [SKIP] Cannot open trade: Entry filter: Session guard: first 1 minutes of hour blocked
2025-12-22 22:48:08 - trades.PLNJPYm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1307s)
2025-12-22 22:50:39 - trades.PLNJPYm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1156s)
2025-12-22 22:53:09 - trades.PLNJPYm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1005s)
2025-12-22 23:00:59 - trades.PLNJPYm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 535s)
2025-12-22 23:04:17 - trades.PLNJPYm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 337s)
2025-12-22 23:19:59 - trades.PLNJPYm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1200s)
2025-12-22 23:23:08 - trades.PLNJPYm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 1011s)
2025-12-22 23:26:21 - trades.PLNJPYm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 817s)
2025-12-22 23:29:34 - trades.PLNJPYm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 625s)
2025-12-22 23:32:38 - trades.PLNJPYm - DEBUG - [SKIP] Cannot open trade: Circuit breaker: Consecutive losses >= 10 (12 losses) (resumes in 441s)
