2025-12-22 17:28:54 - trades.TSMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Volatility floor: avg range 0.73 pips < min 0.80 pips
2025-12-22 17:31:08 - trades.TSMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 148.5% of avg range > max 30.0%
2025-12-22 17:38:26 - trades.TSMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 134.0% of avg range > max 30.0%
2025-12-22 17:40:13 - trades.TSMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 128.1% of avg range > max 30.0%
2025-12-22 17:42:00 - trades.TSMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 142.1% of avg range > max 30.0%
2025-12-22 17:43:47 - trades.TSMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 142.1% of avg range > max 30.0%
2025-12-22 17:45:34 - trades.TSMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 137.9% of avg range > max 30.0%
2025-12-22 17:47:20 - trades.TSMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 143.6% of avg range > max 30.0%
2025-12-22 17:49:07 - trades.TSMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 141.4% of avg range > max 30.0%
2025-12-22 17:50:54 - trades.TSMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 113.4% of avg range > max 30.0%
2025-12-22 17:52:40 - trades.TSMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 118.8% of avg range > max 30.0%
2025-12-22 17:54:27 - trades.TSMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 122.4% of avg range > max 30.0%
2025-12-22 17:56:14 - trades.TSMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 132.7% of avg range > max 30.0%
2025-12-22 18:40:46 - trades.TSMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 151.7% of avg range > max 30.0%
2025-12-22 18:45:27 - trades.TSMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 156.9% of avg range > max 30.0%
2025-12-22 18:50:29 - trades.TSMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 153.1% of avg range > max 30.0%
2025-12-22 18:55:11 - trades.TSMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 177.5% of avg range > max 30.0%
2025-12-22 19:08:34 - trades.TSMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 158.5% of avg range > max 30.0%
