2025-12-21 23:17:57 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Candle quality: current range 31.4% of avg < min 55.0%
2025-12-21 23:25:25 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 41.8% of avg range > max 30.0%
2025-12-21 23:29:27 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 40.5% of avg range > max 30.0%
2025-12-21 23:51:13 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 48.1% of avg range > max 30.0%
2025-12-21 23:54:29 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 49.9% of avg range > max 30.0%
2025-12-21 23:57:37 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 47.9% of avg range > max 30.0%
2025-12-22 00:01:17 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 47.8% of avg range > max 30.0%
2025-12-22 00:05:19 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 40.1% of avg range > max 30.0%
2025-12-22 00:09:02 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 38.6% of avg range > max 30.0%
2025-12-22 00:12:28 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 36.4% of avg range > max 30.0%
2025-12-22 00:16:23 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 35.7% of avg range > max 30.0%
2025-12-22 00:20:20 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 34.8% of avg range > max 30.0%
2025-12-22 00:24:23 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 43.0% of avg range > max 30.0%
2025-12-22 00:31:28 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 47.6% of avg range > max 30.0%
2025-12-22 00:34:46 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 46.0% of avg range > max 30.0%
2025-12-22 00:37:54 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 48.7% of avg range > max 30.0%
2025-12-22 00:41:16 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 47.0% of avg range > max 30.0%
2025-12-22 00:44:39 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 49.6% of avg range > max 30.0%
2025-12-22 00:47:51 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 49.1% of avg range > max 30.0%
2025-12-22 00:51:11 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 56.5% of avg range > max 30.0%
2025-12-22 00:54:22 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 61.5% of avg range > max 30.0%
2025-12-22 00:58:03 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 71.9% of avg range > max 30.0%
2025-12-22 01:01:33 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 67.1% of avg range > max 30.0%
2025-12-22 01:21:16 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 40.6% of avg range > max 30.0%
2025-12-22 01:25:40 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 46.4% of avg range > max 30.0%
2025-12-22 01:29:11 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 60.1% of avg range > max 30.0%
2025-12-22 01:32:19 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 58.2% of avg range > max 30.0%
2025-12-22 01:35:48 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 60.1% of avg range > max 30.0%
2025-12-22 02:01:19 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 69.6% of avg range > max 30.0%
2025-12-22 02:04:22 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 68.5% of avg range > max 30.0%
2025-12-22 02:07:55 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 66.3% of avg range > max 30.0%
2025-12-22 02:11:22 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 67.1% of avg range > max 30.0%
2025-12-22 02:14:39 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 68.6% of avg range > max 30.0%
2025-12-22 02:18:22 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 59.2% of avg range > max 30.0%
2025-12-22 02:21:42 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 62.5% of avg range > max 30.0%
2025-12-22 02:24:45 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 63.8% of avg range > max 30.0%
2025-12-22 02:28:17 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 73.8% of avg range > max 30.0%
2025-12-22 02:35:07 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 74.4% of avg range > max 30.0%
2025-12-22 04:28:50 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 84.3% of avg range > max 30.0%
2025-12-22 04:32:17 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 86.4% of avg range > max 30.0%
2025-12-22 04:35:29 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 88.1% of avg range > max 30.0%
2025-12-22 04:38:53 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 91.4% of avg range > max 30.0%
2025-12-22 04:42:16 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 96.1% of avg range > max 30.0%
