2025-12-21 23:17:58 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Candle quality: current range 31.4% of avg < min 55.0%
2025-12-21 23:25:26 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 41.8% of avg range > max 30.0%
2025-12-21 23:29:28 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 40.5% of avg range > max 30.0%
2025-12-21 23:51:17 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 48.1% of avg range > max 30.0%
2025-12-21 23:54:30 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 49.9% of avg range > max 30.0%
2025-12-21 23:57:38 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 47.9% of avg range > max 30.0%
2025-12-22 00:01:24 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 47.8% of avg range > max 30.0%
2025-12-22 00:05:20 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 40.1% of avg range > max 30.0%
2025-12-22 00:09:03 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 38.6% of avg range > max 30.0%
2025-12-22 00:12:29 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 36.4% of avg range > max 30.0%
2025-12-22 00:16:22 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 35.7% of avg range > max 30.0%
2025-12-22 00:20:20 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 34.8% of avg range > max 30.0%
2025-12-22 00:24:24 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 43.0% of avg range > max 30.0%
2025-12-22 00:31:28 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 47.6% of avg range > max 30.0%
2025-12-22 00:34:47 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 46.0% of avg range > max 30.0%
2025-12-22 00:37:55 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 48.7% of avg range > max 30.0%
2025-12-22 00:41:17 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 47.0% of avg range > max 30.0%
2025-12-22 00:44:40 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 49.6% of avg range > max 30.0%
2025-12-22 00:47:52 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 49.1% of avg range > max 30.0%
2025-12-22 00:51:12 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 56.5% of avg range > max 30.0%
2025-12-22 00:54:23 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 61.5% of avg range > max 30.0%
2025-12-22 00:58:01 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 71.9% of avg range > max 30.0%
2025-12-22 01:01:35 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 67.1% of avg range > max 30.0%
2025-12-22 01:21:17 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 40.6% of avg range > max 30.0%
2025-12-22 01:25:41 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 46.4% of avg range > max 30.0%
2025-12-22 01:29:12 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 60.1% of avg range > max 30.0%
2025-12-22 01:32:20 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 58.2% of avg range > max 30.0%
2025-12-22 01:35:51 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 60.1% of avg range > max 30.0%
2025-12-22 02:01:20 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 69.6% of avg range > max 30.0%
2025-12-22 02:04:26 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 68.5% of avg range > max 30.0%
2025-12-22 02:07:56 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 66.3% of avg range > max 30.0%
2025-12-22 02:11:23 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 67.1% of avg range > max 30.0%
2025-12-22 02:14:39 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 68.6% of avg range > max 30.0%
2025-12-22 02:18:25 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 59.2% of avg range > max 30.0%
2025-12-22 02:21:42 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 62.5% of avg range > max 30.0%
2025-12-22 02:24:46 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 63.8% of avg range > max 30.0%
2025-12-22 02:28:19 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 73.8% of avg range > max 30.0%
2025-12-22 02:35:08 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 74.4% of avg range > max 30.0%
2025-12-22 04:28:51 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 84.3% of avg range > max 30.0%
2025-12-22 04:32:17 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 86.4% of avg range > max 30.0%
2025-12-22 04:35:26 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 88.1% of avg range > max 30.0%
2025-12-22 04:38:54 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 91.4% of avg range > max 30.0%
2025-12-22 04:42:19 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 96.1% of avg range > max 30.0%
2025-12-22 04:45:15 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 101.0% of avg range > max 30.0%
2025-12-22 04:48:13 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 103.9% of avg range > max 30.0%
2025-12-22 06:15:14 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 99.0% of avg range > max 30.0%
2025-12-22 06:21:21 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 93.2% of avg range > max 30.0%
2025-12-22 06:24:44 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 89.0% of avg range > max 30.0%
2025-12-22 06:27:34 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 94.0% of avg range > max 30.0%
