2026-01-02 20:46:46 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Candle quality: current range 54.0% of avg < min 55.0%
2026-01-02 20:53:33 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 52.2% of avg range > max 50.0%
2026-01-02 20:56:57 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 55.1% of avg range > max 50.0%
2026-01-02 20:58:40 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 56.3% of avg range > max 50.0%
2026-01-02 21:00:22 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Session guard: first 1 minutes of hour blocked
2026-01-02 21:02:04 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 53.1% of avg range > max 50.0%
2026-01-02 21:05:25 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 55.4% of avg range > max 50.0%
2026-01-02 21:08:48 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 57.3% of avg range > max 50.0%
2026-01-02 21:10:28 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 58.0% of avg range > max 50.0%
2026-01-02 21:12:09 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 67.5% of avg range > max 50.0%
2026-01-02 21:13:51 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 66.9% of avg range > max 50.0%
2026-01-02 21:15:34 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 69.2% of avg range > max 50.0%
2026-01-02 21:17:16 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 79.6% of avg range > max 50.0%
2026-01-02 21:18:56 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 82.3% of avg range > max 50.0%
2026-01-02 21:20:36 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 92.1% of avg range > max 50.0%
2026-01-02 21:22:16 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 100.6% of avg range > max 50.0%
2026-01-02 21:23:54 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 109.8% of avg range > max 50.0%
2026-01-02 21:25:34 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 114.0% of avg range > max 50.0%
2026-01-02 21:27:13 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 131.9% of avg range > max 50.0%
2026-01-02 21:28:52 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 126.0% of avg range > max 50.0%
2026-01-05 07:24:51 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 156.3% of avg range > max 50.0%
2026-01-05 07:26:54 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 140.6% of avg range > max 50.0%
