2026-01-02 20:35:53 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Volatility floor: avg range 0.28 pips < min 0.40 pips
2026-01-02 20:38:15 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 206.2% of avg range > max 50.0%
2026-01-02 20:40:24 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 204.1% of avg range > max 50.0%
2026-01-02 20:42:21 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 204.1% of avg range > max 50.0%
2026-01-02 20:44:46 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 185.2% of avg range > max 50.0%
2026-01-05 15:00:01 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Session guard: first 1 minutes of hour blocked
2026-01-05 15:11:32 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 50.5% of avg range > max 50.0%
2026-01-05 15:17:10 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 55.1% of avg range > max 50.0%
2026-01-05 15:33:05 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 71.8% of avg range > max 50.0%
2026-01-05 16:05:08 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 50.6% of avg range > max 50.0%
2026-01-05 16:14:59 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 57.1% of avg range > max 50.0%
2026-01-05 16:20:31 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 82.4% of avg range > max 50.0%
2026-01-05 16:30:52 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 70.2% of avg range > max 50.0%
2026-01-05 16:36:05 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 75.2% of avg range > max 50.0%
2026-01-05 16:41:40 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 72.7% of avg range > max 50.0%
2026-01-05 16:46:47 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 76.0% of avg range > max 50.0%
2026-01-05 16:57:38 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 92.2% of avg range > max 50.0%
2026-01-05 17:02:47 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 117.0% of avg range > max 50.0%
2026-01-05 17:07:47 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 108.7% of avg range > max 50.0%
2026-01-05 17:17:43 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 99.5% of avg range > max 50.0%
2026-01-05 17:22:58 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 97.6% of avg range > max 50.0%
2026-01-05 17:28:17 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 103.1% of avg range > max 50.0%
2026-01-05 17:33:18 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 118.3% of avg range > max 50.0%
2026-01-05 17:38:37 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 108.7% of avg range > max 50.0%
2026-01-05 17:44:42 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 119.0% of avg range > max 50.0%
2026-01-05 17:51:27 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 131.6% of avg range > max 50.0%
2026-01-05 17:57:49 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 166.7% of avg range > max 50.0%
2026-01-05 18:02:47 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 168.1% of avg range > max 50.0%
2026-01-05 18:07:43 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 175.4% of avg range > max 50.0%
2026-01-05 18:12:50 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 172.4% of avg range > max 50.0%
2026-01-05 18:22:51 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 168.1% of avg range > max 50.0%
2026-01-05 18:27:36 - trades.XOMm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 183.5% of avg range > max 50.0%
