2025-12-14 22:27:10 - lightweight_realtime - INFO - [2025-12-14 22:27:10.484] Positions: 0 | State: SCANNING | Symbol: USDSEKm
2025-12-14 22:27:11 - lightweight_realtime - INFO - [2025-12-14 22:27:11.523] Positions: 0 | State: SCANNING | Symbol: NZDZARm
2025-12-14 22:27:12 - lightweight_realtime - INFO - [2025-12-14 22:27:12.709] Positions: 0 | State: SCANNING | Symbol: DKKJPYm
2025-12-14 22:27:13 - lightweight_realtime - INFO - [2025-12-14 22:27:13.800] Positions: 0 | State: SCANNING | Symbol: NZDSEKm
2025-12-14 22:27:14 - lightweight_realtime - INFO - [2025-12-14 22:27:14.828] Positions: 0 | State: SCANNING | Symbol: CHFNOKm
2025-12-14 22:27:16 - lightweight_realtime - INFO - [2025-12-14 22:27:16.102] Positions: 0 | State: SCANNING | Symbol: EURNOKm
2025-12-14 22:27:17 - lightweight_realtime - INFO - [2025-12-14 22:27:17.156] Positions: 0 | State: SCANNING | Symbol: NZDSGDm
2025-12-14 22:27:18 - lightweight_realtime - INFO - [2025-12-14 22:27:18.216] Positions: 0 | State: SCANNING | Symbol: EURNZDm
2025-12-14 22:27:19 - lightweight_realtime - INFO - [2025-12-14 22:27:19.294] Positions: 0 | State: SCANNING | Symbol: USDDKKm
2025-12-14 22:27:20 - lightweight_realtime - INFO - [2025-12-14 22:27:20.877] Positions: 0 | State: SCANNING | Symbol: PLNDKKm
2025-12-14 22:27:21 - lightweight_realtime - INFO - [2025-12-14 22:27:21.940] Positions: 0 | State: SCANNING | Symbol: CADPLNm
2025-12-14 22:27:23 - lightweight_realtime - INFO - [2025-12-14 22:27:23.318] Positions: 0 | State: SCANNING | Symbol: CHFDKKm
2025-12-14 22:27:24 - lightweight_realtime - INFO - [2025-12-14 22:27:24.331] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:27:25 - lightweight_realtime - INFO - [2025-12-14 22:27:25.554] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:27:34 - lightweight_realtime - INFO - [2025-12-14 22:27:34.058] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:27:35 - lightweight_realtime - INFO - [2025-12-14 22:27:35.068] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:27:36 - lightweight_realtime - INFO - [2025-12-14 22:27:36.095] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:27:37 - lightweight_realtime - INFO - [2025-12-14 22:27:37.122] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:27:38 - lightweight_realtime - INFO - [2025-12-14 22:27:38.151] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:27:39 - lightweight_realtime - INFO - [2025-12-14 22:27:39.164] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:27:40 - lightweight_realtime - INFO - [2025-12-14 22:27:40.177] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:27:41 - lightweight_realtime - INFO - [2025-12-14 22:27:41.228] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:27:43 - lightweight_realtime - INFO - [2025-12-14 22:27:43.216] Positions: 0 | State: IDLE | Symbol: N/A
