2025-12-15 12:31:52 - lightweight_realtime - INFO - [2025-12-15 12:31:52.219] Positions: 0 | State: SCANNING | Symbol: AMDm
2025-12-15 12:31:53 - lightweight_realtime - INFO - [2025-12-15 12:31:53.269] Positions: 0 | State: SCANNING | Symbol: USDSEKm
2025-12-15 12:31:54 - lightweight_realtime - INFO - [2025-12-15 12:31:54.637] Positions: 0 | State: SCANNING | Symbol: BIDUm
2025-12-15 12:31:55 - lightweight_realtime - INFO - [2025-12-15 12:31:55.678] Positions: 0 | State: SCANNING | Symbol: GBPILSm
2025-12-15 12:31:56 - lightweight_realtime - INFO - [2025-12-15 12:31:56.750] Positions: 0 | State: SCANNING | Symbol: EURMXNm
2025-12-15 12:31:58 - lightweight_realtime - INFO - [2025-12-15 12:31:58.968] Positions: 0 | State: SCANNING | Symbol: PLNJPYm
2025-12-15 12:32:00 - lightweight_realtime - INFO - [2025-12-15 12:32:00.399] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:32:01 - lightweight_realtime - INFO - [2025-12-15 12:32:01.416] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:32:02 - lightweight_realtime - INFO - [2025-12-15 12:32:02.513] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:32:03 - lightweight_realtime - INFO - [2025-12-15 12:32:03.771] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:32:05 - lightweight_realtime - INFO - [2025-12-15 12:32:05.469] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:32:07 - lightweight_realtime - INFO - [2025-12-15 12:32:07.294] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:32:08 - lightweight_realtime - INFO - [2025-12-15 12:32:08.340] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:32:09 - lightweight_realtime - INFO - [2025-12-15 12:32:09.392] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:32:10 - lightweight_realtime - INFO - [2025-12-15 12:32:10.405] Positions: 0 | State: IDLE | Symbol: N/A
