2025-12-19 00:03:41 - lightweight_realtime - INFO - [2025-12-19 00:03:41.456] Positions: 0 | State: SCANNING | Symbol: US500m
2025-12-19 00:03:42 - lightweight_realtime - INFO - [2025-12-19 00:03:42.471] Positions: 0 | State: SCANNING | Symbol: BILIm
2025-12-19 00:03:43 - lightweight_realtime - INFO - [2025-12-19 00:03:43.502] Positions: 0 | State: SCANNING | Symbol: AUDCHFm
2025-12-19 00:03:44 - lightweight_realtime - INFO - [2025-12-19 00:03:44.539] Positions: 0 | State: SCANNING | Symbol: EBAYm
2025-12-19 00:03:45 - lightweight_realtime - INFO - [2025-12-19 00:03:45.553] Positions: 0 | State: SCANNING | Symbol: NKEm
2025-12-19 00:03:46 - lightweight_realtime - INFO - [2025-12-19 00:03:46.574] Positions: 0 | State: SCANNING | Symbol: NZDCHFm
2025-12-19 00:03:47 - lightweight_realtime - INFO - [2025-12-19 00:03:47.609] Positions: 0 | State: SCANNING | Symbol: USOILm
2025-12-19 00:03:48 - lightweight_realtime - INFO - [2025-12-19 00:03:48.635] Positions: 0 | State: SCANNING | Symbol: NZDCADm
2025-12-19 00:03:49 - lightweight_realtime - INFO - [2025-12-19 00:03:49.652] Positions: 0 | State: SCANNING | Symbol: GBPAUDm
2025-12-19 00:03:50 - lightweight_realtime - INFO - [2025-12-19 00:03:50.688] Positions: 0 | State: SCANNING | Symbol: DXYm
2025-12-19 00:03:51 - lightweight_realtime - INFO - [2025-12-19 00:03:51.715] Positions: 0 | State: SCANNING | Symbol: CADJPYm
2025-12-19 00:03:52 - lightweight_realtime - INFO - [2025-12-19 00:03:52.761] Positions: 0 | State: SCANNING | Symbol: MAm
2025-12-19 00:03:53 - lightweight_realtime - INFO - [2025-12-19 00:03:53.790] Positions: 0 | State: SCANNING | Symbol: EURSGDm
2025-12-19 00:03:54 - lightweight_realtime - INFO - [2025-12-19 00:03:54.821] Positions: 0 | State: SCANNING | Symbol: GBPNOKm
2025-12-19 00:03:55 - lightweight_realtime - INFO - [2025-12-19 00:03:55.845] Positions: 0 | State: SCANNING | Symbol: BTCXAUm
2025-12-19 00:03:56 - lightweight_realtime - INFO - [2025-12-19 00:03:56.861] Positions: 0 | State: SCANNING | Symbol: NZDDKKm
2025-12-19 00:03:57 - lightweight_realtime - INFO - [2025-12-19 00:03:57.881] Positions: 0 | State: SCANNING | Symbol: AUDNOKm
2025-12-19 00:03:58 - lightweight_realtime - INFO - [2025-12-19 00:03:58.903] Positions: 0 | State: SCANNING | Symbol: CADNOKm
2025-12-19 00:03:59 - lightweight_realtime - INFO - [2025-12-19 00:03:59.924] Positions: 1 | State: MANAGING TRADE | Symbol: US30m
