2025-12-19 12:06:57 - lightweight_realtime - INFO - [2025-12-19 12:06:57.011] Positions: 0 | State: SCANNING | Symbol: USTECm
2025-12-19 12:06:58 - lightweight_realtime - INFO - [2025-12-19 12:06:58.148] Positions: 0 | State: SCANNING | Symbol: FR40m
2025-12-19 12:06:59 - lightweight_realtime - INFO - [2025-12-19 12:06:59.260] Positions: 0 | State: SCANNING | Symbol: BTCAUDm
2025-12-19 12:07:00 - lightweight_realtime - INFO - [2025-12-19 12:07:00.403] Positions: 0 | State: SCANNING | Symbol: XCUUSDm
2025-12-19 12:07:01 - lightweight_realtime - INFO - [2025-12-19 12:07:01.523] Positions: 0 | State: SCANNING | Symbol: EURGBPm
2025-12-19 12:07:02 - lightweight_realtime - INFO - [2025-12-19 12:07:02.685] Positions: 0 | State: SCANNING | Symbol: BTCZARm
2025-12-19 12:07:03 - lightweight_realtime - INFO - [2025-12-19 12:07:03.899] Positions: 0 | State: SCANNING | Symbol: AAPLm
2025-12-19 12:07:05 - lightweight_realtime - INFO - [2025-12-19 12:07:05.204] Positions: 0 | State: SCANNING | Symbol: CHFJPYm
2025-12-19 12:07:06 - lightweight_realtime - INFO - [2025-12-19 12:07:06.290] Positions: 0 | State: SCANNING | Symbol: EURCHFm
2025-12-19 12:07:07 - lightweight_realtime - INFO - [2025-12-19 12:07:07.427] Positions: 0 | State: SCANNING | Symbol: INTCm
2025-12-19 12:07:08 - lightweight_realtime - INFO - [2025-12-19 12:07:08.449] Positions: 0 | State: SCANNING | Symbol: AMZNm
2025-12-19 12:07:09 - lightweight_realtime - INFO - [2025-12-19 12:07:09.489] Positions: 0 | State: SCANNING | Symbol: DKKSGDm
2025-12-19 12:07:10 - lightweight_realtime - INFO - [2025-12-19 12:07:10.500] Positions: 0 | State: SCANNING | Symbol: PYPLm
2025-12-19 12:07:11 - lightweight_realtime - INFO - [2025-12-19 12:07:11.694] Positions: 0 | State: SCANNING | Symbol: AMDm
2025-12-19 12:07:12 - lightweight_realtime - INFO - [2025-12-19 12:07:12.703] Positions: 0 | State: SCANNING | Symbol: USDNOKm
2025-12-19 12:07:13 - lightweight_realtime - INFO - [2025-12-19 12:07:13.800] Positions: 0 | State: SCANNING | Symbol: GBPNOKm
2025-12-19 12:07:15 - lightweight_realtime - INFO - [2025-12-19 12:07:15.098] Positions: 0 | State: SCANNING | Symbol: XPDUSDm
2025-12-19 12:07:16 - lightweight_realtime - INFO - [2025-12-19 12:07:16.126] Positions: 0 | State: SCANNING | Symbol: PDDm
2025-12-19 12:07:17 - lightweight_realtime - INFO - [2025-12-19 12:07:17.229] Positions: 0 | State: SCANNING | Symbol: EURDKKm
2025-12-19 12:07:18 - lightweight_realtime - INFO - [2025-12-19 12:07:18.263] Positions: 0 | State: SCANNING | Symbol: NOKDKKm
2025-12-19 12:07:19 - lightweight_realtime - INFO - [2025-12-19 12:07:19.355] Positions: 0 | State: SCANNING | Symbol: EURMXNm
2025-12-19 12:07:20 - lightweight_realtime - INFO - [2025-12-19 12:07:20.723] Positions: 0 | State: SCANNING | Symbol: PLNDKKm
2025-12-19 12:07:21 - lightweight_realtime - INFO - [2025-12-19 12:07:21.774] Positions: 0 | State: SCANNING | Symbol: CADPLNm
2025-12-19 12:07:23 - lightweight_realtime - INFO - [2025-12-19 12:07:23.542] Positions: 0 | State: SCANNING | Symbol: CHFPLNm
2025-12-19 12:07:25 - lightweight_realtime - INFO - [2025-12-19 12:07:25.366] Positions: 0 | State: SCANNING | Symbol: EURSEKm
2025-12-19 12:07:26 - lightweight_realtime - INFO - [2025-12-19 12:07:26.592] Positions: 0 | State: SCANNING | Symbol: EURZARm
