2025-12-21 19:17:05 - lightweight_realtime - INFO - [2025-12-21 19:17:05.219] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:17:06 - lightweight_realtime - INFO - [2025-12-21 19:17:06.221] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:17:07 - lightweight_realtime - INFO - [2025-12-21 19:17:07.229] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:17:08 - lightweight_realtime - INFO - [2025-12-21 19:17:08.241] Positions: 0 | State: SCANNING | Symbol: N/A
2025-12-21 19:17:09 - lightweight_realtime - INFO - [2025-12-21 19:17:09.277] Positions: 0 | State: SCANNING | Symbol: BTCUSDm
2025-12-21 19:17:10 - lightweight_realtime - INFO - [2025-12-21 19:17:10.327] Positions: 0 | State: SCANNING | Symbol: BTCUSDm
2025-12-21 19:17:14 - lightweight_realtime - INFO - [2025-12-21 19:17:14.991] Positions: 0 | State: SCANNING | Symbol: BTCUSDm
2025-12-21 19:17:19 - lightweight_realtime - INFO - [2025-12-21 19:17:19.032] Positions: 0 | State: SCANNING | Symbol: BTCJPYm
2025-12-21 19:17:20 - lightweight_realtime - INFO - [2025-12-21 19:17:20.121] Positions: 0 | State: SCANNING | Symbol: BTCXAGm
2025-12-21 19:17:21 - lightweight_realtime - INFO - [2025-12-21 19:17:21.216] Positions: 0 | State: SCANNING | Symbol: BTCZARm
2025-12-21 19:17:39 - lightweight_realtime - INFO - [2025-12-21 19:17:38.985] Positions: 0 | State: SCANNING | Symbol: BTCXAUm
2025-12-21 19:17:40 - lightweight_realtime - INFO - [2025-12-21 19:17:40.123] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:17:41 - lightweight_realtime - INFO - [2025-12-21 19:17:41.142] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:17:42 - lightweight_realtime - INFO - [2025-12-21 19:17:42.166] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:17:43 - lightweight_realtime - INFO - [2025-12-21 19:17:43.188] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:17:44 - lightweight_realtime - INFO - [2025-12-21 19:17:44.201] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:17:45 - lightweight_realtime - INFO - [2025-12-21 19:17:45.365] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:17:46 - lightweight_realtime - INFO - [2025-12-21 19:17:46.410] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:17:47 - lightweight_realtime - INFO - [2025-12-21 19:17:47.422] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:17:48 - lightweight_realtime - INFO - [2025-12-21 19:17:48.448] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:17:49 - lightweight_realtime - INFO - [2025-12-21 19:17:49.456] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:17:50 - lightweight_realtime - INFO - [2025-12-21 19:17:50.466] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:17:51 - lightweight_realtime - INFO - [2025-12-21 19:17:51.503] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:17:52 - lightweight_realtime - INFO - [2025-12-21 19:17:52.535] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:17:53 - lightweight_realtime - INFO - [2025-12-21 19:17:53.553] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:17:54 - lightweight_realtime - INFO - [2025-12-21 19:17:54.577] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:17:55 - lightweight_realtime - INFO - [2025-12-21 19:17:55.596] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:17:56 - lightweight_realtime - INFO - [2025-12-21 19:17:56.619] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:17:57 - lightweight_realtime - INFO - [2025-12-21 19:17:57.641] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:17:58 - lightweight_realtime - INFO - [2025-12-21 19:17:58.689] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:17:59 - lightweight_realtime - INFO - [2025-12-21 19:17:59.814] Positions: 0 | State: IDLE | Symbol: N/A
