2025-12-22 07:42:39 - lightweight_realtime - INFO - [2025-12-22 07:42:39.403] Positions: 0 | State: SCANNING | Symbol: XAUGBPm
2025-12-22 07:42:41 - lightweight_realtime - INFO - [2025-12-22 07:42:41.487] Positions: 0 | State: SCANNING | Symbol: GBPUSDm
2025-12-22 07:42:42 - lightweight_realtime - INFO - [2025-12-22 07:42:42.687] Positions: 0 | State: SCANNING | Symbol: US30m
2025-12-22 07:42:44 - lightweight_realtime - INFO - [2025-12-22 07:42:43.968] Positions: 0 | State: SCANNING | Symbol: DE30m
2025-12-22 07:42:45 - lightweight_realtime - INFO - [2025-12-22 07:42:45.167] Positions: 0 | State: SCANNING | Symbol: USTECm
2025-12-22 07:42:46 - lightweight_realtime - INFO - [2025-12-22 07:42:46.363] Positions: 0 | State: SCANNING | Symbol: US500m
2025-12-22 07:42:47 - lightweight_realtime - INFO - [2025-12-22 07:42:47.406] Positions: 0 | State: SCANNING | Symbol: BTCUSDm
2025-12-22 07:42:49 - lightweight_realtime - INFO - [2025-12-22 07:42:49.170] Positions: 0 | State: SCANNING | Symbol: BTCJPYm
2025-12-22 07:42:50 - lightweight_realtime - INFO - [2025-12-22 07:42:50.287] Positions: 0 | State: SCANNING | Symbol: BTCJPYm
2025-12-22 07:42:51 - lightweight_realtime - INFO - [2025-12-22 07:42:51.649] Positions: 0 | State: SCANNING | Symbol: BTCZARm
2025-12-22 07:42:52 - lightweight_realtime - INFO - [2025-12-22 07:42:52.771] Positions: 0 | State: SCANNING | Symbol: HK50m
2025-12-22 07:42:53 - lightweight_realtime - INFO - [2025-12-22 07:42:53.967] Positions: 0 | State: SCANNING | Symbol: HK50m
2025-12-22 07:42:55 - lightweight_realtime - INFO - [2025-12-22 07:42:55.243] Positions: 0 | State: SCANNING | Symbol: AUDCHFm
2025-12-22 07:42:56 - lightweight_realtime - INFO - [2025-12-22 07:42:56.368] Positions: 0 | State: SCANNING | Symbol: BTCCNHm
2025-12-22 07:42:57 - lightweight_realtime - INFO - [2025-12-22 07:42:57.649] Positions: 0 | State: SCANNING | Symbol: EURGBPm
2025-12-22 07:42:59 - lightweight_realtime - INFO - [2025-12-22 07:42:59.247] Positions: 0 | State: SCANNING | Symbol: XCUUSDm
2025-12-22 07:43:00 - lightweight_realtime - INFO - [2025-12-22 07:43:00.606] Positions: 0 | State: SCANNING | Symbol: XZNUSDm
2025-12-22 07:43:02 - lightweight_realtime - INFO - [2025-12-22 07:43:02.216] Positions: 0 | State: SCANNING | Symbol: XAGUSDm
2025-12-22 07:43:03 - lightweight_realtime - INFO - [2025-12-22 07:43:03.404] Positions: 0 | State: SCANNING | Symbol: AUDNZDm
