2025-12-22 17:28:39 - lightweight_realtime - INFO - [2025-12-22 17:28:39.821] Positions: 0 | State: SCANNING | Symbol: US500_x100m
2025-12-22 17:28:40 - lightweight_realtime - INFO - [2025-12-22 17:28:40.827] Positions: 0 | State: SCANNING | Symbol: BTCUSDm
2025-12-22 17:28:42 - lightweight_realtime - INFO - [2025-12-22 17:28:42.029] Positions: 0 | State: SCANNING | Symbol: VIPSm
2025-12-22 17:28:43 - lightweight_realtime - INFO - [2025-12-22 17:28:43.051] Positions: 0 | State: SCANNING | Symbol: JDm
2025-12-22 17:28:44 - lightweight_realtime - INFO - [2025-12-22 17:28:44.064] Positions: 0 | State: SCANNING | Symbol: AMZNm
2025-12-22 17:28:45 - lightweight_realtime - INFO - [2025-12-22 17:28:45.179] Positions: 0 | State: SCANNING | Symbol: MOm
2025-12-22 17:28:46 - lightweight_realtime - INFO - [2025-12-22 17:28:46.208] Positions: 0 | State: SCANNING | Symbol: BTCCNHm
2025-12-22 17:28:47 - lightweight_realtime - INFO - [2025-12-22 17:28:47.664] Positions: 0 | State: SCANNING | Symbol: UPSm
2025-12-22 17:28:49 - lightweight_realtime - INFO - [2025-12-22 17:28:49.141] Positions: 0 | State: SCANNING | Symbol: KOm
2025-12-22 17:28:50 - lightweight_realtime - INFO - [2025-12-22 17:28:50.452] Positions: 0 | State: SCANNING | Symbol: TSLAm
2025-12-22 17:28:51 - lightweight_realtime - INFO - [2025-12-22 17:28:51.674] Positions: 0 | State: SCANNING | Symbol: YUMCm
2025-12-22 17:28:52 - lightweight_realtime - INFO - [2025-12-22 17:28:52.707] Positions: 0 | State: SCANNING | Symbol: ORCLm
2025-12-22 17:28:53 - lightweight_realtime - INFO - [2025-12-22 17:28:53.931] Positions: 0 | State: SCANNING | Symbol: MSm
2025-12-22 17:28:55 - lightweight_realtime - INFO - [2025-12-22 17:28:55.030] Positions: 0 | State: SCANNING | Symbol: AMTm
2025-12-22 17:28:56 - lightweight_realtime - INFO - [2025-12-22 17:28:56.096] Positions: 0 | State: SCANNING | Symbol: USOILm
2025-12-22 17:28:57 - lightweight_realtime - INFO - [2025-12-22 17:28:57.349] Positions: 0 | State: SCANNING | Symbol: TMUSm
2025-12-22 17:28:58 - lightweight_realtime - INFO - [2025-12-22 17:28:58.374] Positions: 0 | State: SCANNING | Symbol: XAGUSDm
2025-12-22 17:28:59 - lightweight_realtime - INFO - [2025-12-22 17:28:59.389] Positions: 0 | State: SCANNING | Symbol: EURJPYm
2025-12-22 17:29:00 - lightweight_realtime - INFO - [2025-12-22 17:29:00.448] Positions: 0 | State: SCANNING | Symbol: HDm
2025-12-22 17:29:01 - lightweight_realtime - INFO - [2025-12-22 17:29:01.487] Positions: 0 | State: SCANNING | Symbol: MMMm
2025-12-22 17:29:02 - lightweight_realtime - INFO - [2025-12-22 17:29:02.703] Positions: 0 | State: SCANNING | Symbol: AVGOm
2025-12-22 17:29:03 - lightweight_realtime - INFO - [2025-12-22 17:29:03.752] Positions: 0 | State: SCANNING | Symbol: EURCADm
2025-12-22 17:29:04 - lightweight_realtime - INFO - [2025-12-22 17:29:04.803] Positions: 0 | State: SCANNING | Symbol: GOOGLm
2025-12-22 17:29:05 - lightweight_realtime - INFO - [2025-12-22 17:29:05.875] Positions: 0 | State: SCANNING | Symbol: DKKJPYm
2025-12-22 17:29:07 - lightweight_realtime - INFO - [2025-12-22 17:29:07.498] Positions: 0 | State: SCANNING | Symbol: AMDm
2025-12-22 17:29:08 - lightweight_realtime - INFO - [2025-12-22 17:29:08.521] Positions: 0 | State: SCANNING | Symbol: GBPCADm
2025-12-22 17:29:09 - lightweight_realtime - INFO - [2025-12-22 17:29:09.550] Positions: 0 | State: SCANNING | Symbol: BAm
2025-12-22 17:29:10 - lightweight_realtime - INFO - [2025-12-22 17:29:10.917] Positions: 0 | State: SCANNING | Symbol: METAm
2025-12-22 17:29:12 - lightweight_realtime - INFO - [2025-12-22 17:29:12.003] Positions: 0 | State: SCANNING | Symbol: SGDJPYm
2025-12-22 17:29:13 - lightweight_realtime - INFO - [2025-12-22 17:29:13.060] Positions: 0 | State: SCANNING | Symbol: REGNm
2025-12-22 17:29:14 - lightweight_realtime - INFO - [2025-12-22 17:29:14.095] Positions: 0 | State: SCANNING | Symbol: EQIXm
2025-12-22 17:29:15 - lightweight_realtime - INFO - [2025-12-22 17:29:15.123] Positions: 0 | State: SCANNING | Symbol: CHFSEKm
2025-12-22 17:29:16 - lightweight_realtime - INFO - [2025-12-22 17:29:16.190] Positions: 0 | State: SCANNING | Symbol: USDZARm
2025-12-22 17:29:17 - lightweight_realtime - INFO - [2025-12-22 17:29:17.265] Positions: 0 | State: SCANNING | Symbol: NOKDKKm
2025-12-22 17:29:18 - lightweight_realtime - INFO - [2025-12-22 17:29:18.291] Positions: 0 | State: SCANNING | Symbol: SEKDKKm
