2025-12-22 19:27:27 - lightweight_realtime - INFO - [2025-12-22 19:27:27.338] Positions: 0 | State: SCANNING | Symbol: USDJPYm
2025-12-22 19:27:29 - lightweight_realtime - INFO - [2025-12-22 19:27:29.258] Positions: 0 | State: SCANNING | Symbol: USDJPYm
2025-12-22 19:27:30 - lightweight_realtime - INFO - [2025-12-22 19:27:30.698] Positions: 0 | State: SCANNING | Symbol: GBPUSDm
2025-12-22 19:27:31 - lightweight_realtime - INFO - [2025-12-22 19:27:31.732] Positions: 0 | State: SCANNING | Symbol: US30_x10m
2025-12-22 19:27:32 - lightweight_realtime - INFO - [2025-12-22 19:27:32.935] Positions: 0 | State: SCANNING | Symbol: US30_x10m
2025-12-22 19:27:34 - lightweight_realtime - INFO - [2025-12-22 19:27:34.729] Positions: 0 | State: SCANNING | Symbol: US30_x10m
2025-12-22 19:27:35 - lightweight_realtime - INFO - [2025-12-22 19:27:35.896] Positions: 0 | State: SCANNING | Symbol: US30m
2025-12-22 19:27:37 - lightweight_realtime - INFO - [2025-12-22 19:27:37.175] Positions: 0 | State: SCANNING | Symbol: US30m
2025-12-22 19:27:39 - lightweight_realtime - INFO - [2025-12-22 19:27:39.258] Positions: 0 | State: SCANNING | Symbol: USTEC_x100m
2025-12-22 19:27:40 - lightweight_realtime - INFO - [2025-12-22 19:27:40.457] Positions: 0 | State: SCANNING | Symbol: USTECm
2025-12-22 19:27:41 - lightweight_realtime - INFO - [2025-12-22 19:27:41.572] Positions: 0 | State: SCANNING | Symbol: USTECm
2025-12-22 19:27:42 - lightweight_realtime - INFO - [2025-12-22 19:27:42.701] Positions: 0 | State: SCANNING | Symbol: US500_x100m
2025-12-22 19:27:43 - lightweight_realtime - INFO - [2025-12-22 19:27:43.978] Positions: 0 | State: SCANNING | Symbol: US500m
2025-12-22 19:27:46 - lightweight_realtime - INFO - [2025-12-22 19:27:46.455] Positions: 0 | State: SCANNING | Symbol: JP225m
2025-12-22 19:27:47 - lightweight_realtime - INFO - [2025-12-22 19:27:47.580] Positions: 0 | State: SCANNING | Symbol: UK100m
2025-12-22 19:27:48 - lightweight_realtime - INFO - [2025-12-22 19:27:48.861] Positions: 0 | State: SCANNING | Symbol: BTCUSDm
2025-12-22 19:27:50 - lightweight_realtime - INFO - [2025-12-22 19:27:50.372] Positions: 0 | State: SCANNING | Symbol: STOXX50m
2025-12-22 19:27:51 - lightweight_realtime - INFO - [2025-12-22 19:27:51.761] Positions: 0 | State: SCANNING | Symbol: BTCJPYm
2025-12-22 19:27:53 - lightweight_realtime - INFO - [2025-12-22 19:27:53.034] Positions: 0 | State: SCANNING | Symbol: LIm
2025-12-22 19:27:54 - lightweight_realtime - INFO - [2025-12-22 19:27:54.774] Positions: 0 | State: SCANNING | Symbol: ETHUSDm
2025-12-22 19:27:57 - lightweight_realtime - INFO - [2025-12-22 19:27:57.209] Positions: 0 | State: SCANNING | Symbol: BTCZARm
2025-12-22 19:27:58 - lightweight_realtime - INFO - [2025-12-22 19:27:58.375] Positions: 0 | State: SCANNING | Symbol: BTCXAGm
2025-12-22 19:27:59 - lightweight_realtime - INFO - [2025-12-22 19:27:59.575] Positions: 0 | State: SCANNING | Symbol: AMZNm
2025-12-22 19:28:00 - lightweight_realtime - INFO - [2025-12-22 19:28:00.778] Positions: 0 | State: SCANNING | Symbol: CADCHFm
2025-12-22 19:28:02 - lightweight_realtime - INFO - [2025-12-22 19:28:02.395] Positions: 0 | State: SCANNING | Symbol: BMYm
2025-12-22 19:28:03 - lightweight_realtime - INFO - [2025-12-22 19:28:03.652] Positions: 0 | State: SCANNING | Symbol: MDLZm
2025-12-22 19:28:05 - lightweight_realtime - INFO - [2025-12-22 19:28:05.895] Positions: 0 | State: SCANNING | Symbol: AUDCHFm
