2025-12-23 10:00:10 - lightweight_realtime - INFO - [2025-12-23 10:00:10.659] Positions: 0 | State: SCANNING | Symbol: NZDCHFm
2025-12-23 10:00:11 - lightweight_realtime - INFO - [2025-12-23 10:00:11.681] Positions: 0 | State: SCANNING | Symbol: ZARJPYm
2025-12-23 10:00:12 - lightweight_realtime - INFO - [2025-12-23 10:00:12.710] Positions: 0 | State: SCANNING | Symbol: DKKJPYm
2025-12-23 10:00:13 - lightweight_realtime - INFO - [2025-12-23 10:00:13.764] Positions: 0 | State: SCANNING | Symbol: UKOILm
2025-12-23 10:00:14 - lightweight_realtime - INFO - [2025-12-23 10:00:14.795] Positions: 0 | State: SCANNING | Symbol: USDILSm
2025-12-23 10:00:15 - lightweight_realtime - INFO - [2025-12-23 10:00:15.820] Positions: 0 | State: SCANNING | Symbol: NOKDKKm
2025-12-23 10:00:16 - lightweight_realtime - INFO - [2025-12-23 10:00:16.859] Positions: 0 | State: SCANNING | Symbol: USDPLNm
2025-12-23 10:00:17 - lightweight_realtime - INFO - [2025-12-23 10:00:17.888] Positions: 0 | State: SCANNING | Symbol: PLNSEKm
2025-12-23 10:00:18 - lightweight_realtime - INFO - [2025-12-23 10:00:18.895] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:19 - lightweight_realtime - INFO - [2025-12-23 10:00:19.914] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:20 - lightweight_realtime - INFO - [2025-12-23 10:00:20.947] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:21 - lightweight_realtime - INFO - [2025-12-23 10:00:21.982] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:22 - lightweight_realtime - INFO - [2025-12-23 10:00:22.996] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:24 - lightweight_realtime - INFO - [2025-12-23 10:00:24.034] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:25 - lightweight_realtime - INFO - [2025-12-23 10:00:25.056] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:26 - lightweight_realtime - INFO - [2025-12-23 10:00:26.076] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:27 - lightweight_realtime - INFO - [2025-12-23 10:00:27.100] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:28 - lightweight_realtime - INFO - [2025-12-23 10:00:28.120] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:29 - lightweight_realtime - INFO - [2025-12-23 10:00:29.138] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:30 - lightweight_realtime - INFO - [2025-12-23 10:00:30.149] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:31 - lightweight_realtime - INFO - [2025-12-23 10:00:31.175] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:32 - lightweight_realtime - INFO - [2025-12-23 10:00:32.196] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:33 - lightweight_realtime - INFO - [2025-12-23 10:00:33.219] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:34 - lightweight_realtime - INFO - [2025-12-23 10:00:34.242] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:35 - lightweight_realtime - INFO - [2025-12-23 10:00:35.268] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:36 - lightweight_realtime - INFO - [2025-12-23 10:00:36.290] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:37 - lightweight_realtime - INFO - [2025-12-23 10:00:37.312] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:38 - lightweight_realtime - INFO - [2025-12-23 10:00:38.338] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:39 - lightweight_realtime - INFO - [2025-12-23 10:00:39.358] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:40 - lightweight_realtime - INFO - [2025-12-23 10:00:40.377] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:41 - lightweight_realtime - INFO - [2025-12-23 10:00:41.402] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:42 - lightweight_realtime - INFO - [2025-12-23 10:00:42.411] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:43 - lightweight_realtime - INFO - [2025-12-23 10:00:43.439] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:44 - lightweight_realtime - INFO - [2025-12-23 10:00:44.496] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:45 - lightweight_realtime - INFO - [2025-12-23 10:00:45.523] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:46 - lightweight_realtime - INFO - [2025-12-23 10:00:46.534] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:47 - lightweight_realtime - INFO - [2025-12-23 10:00:47.569] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:48 - lightweight_realtime - INFO - [2025-12-23 10:00:48.597] Positions: 0 | State: IDLE | Symbol: N/A
