2025-12-09 16:40:20 - discrepancies - WARNING - Order 0 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467376640 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467488770 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467764226 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467746820 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 463241221 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 470675462 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467572744 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467467273 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467004428 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 464800781 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467457555 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467738645 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 463872023 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 465456151 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 464980505 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467572251 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467004444 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467566623 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467004453 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467539496 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 465420844 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 464424494 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467459118 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467727409 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 464582198 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 465350710 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 463808063 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467571776 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 464440898 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467594821 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467436619 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 464467538 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 464823378 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 465694803 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 470741077 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 463601241 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 468638302 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 465010788 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 465015910 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 463801960 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 464418920 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
